,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,CNT_FAM_MEMBERS,SUM,APPROVAL
24,24,0,0,1,1,77,4,4,3,1,6138,2501,0,0,1,3,1
25,25,1,1,1,3,192,4,4,1,1,5254,2825,0,0,4,1,1
26,26,1,1,1,3,192,4,4,1,1,5254,2825,0,0,4,1,1
27,27,1,0,1,1,222,0,1,1,1,5701,2242,0,0,2,29,0
28,28,1,0,1,1,222,0,1,1,1,5701,2242,0,0,2,10,0
29,29,1,0,1,1,222,0,1,1,1,5701,2242,0,0,2,10,0
30,30,1,0,1,1,222,0,1,1,1,5701,2242,0,0,2,4,1
31,31,1,0,1,1,222,0,1,1,1,5701,2242,0,0,2,9,0
32,32,1,0,1,1,222,0,1,1,1,5701,2242,0,0,2,10,0
33,33,1,1,1,0,77,0,4,1,1,1466,1037,0,0,1,26,0
34,34,1,1,1,0,77,0,4,1,1,1466,1037,0,0,1,12,0
35,35,1,1,1,0,77,0,4,1,1,1466,1037,0,0,1,26,0
36,36,1,1,1,0,77,0,4,1,1,1466,1037,0,0,1,5,0
37,37,1,1,1,0,77,0,4,1,1,1466,1037,0,0,1,26,0
38,38,1,1,1,0,77,0,4,1,1,1466,1037,0,0,1,12,0
39,39,1,1,1,0,77,0,4,1,1,1466,1037,0,0,1,1,1
40,40,1,1,1,0,77,0,4,1,1,1466,1037,0,0,1,11,0
41,41,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,2,1
42,42,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,6,0
43,43,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,4,1
44,44,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,0,1
45,45,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,10,0
46,46,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,5,0
47,47,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,3,1
48,48,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,3,1
49,49,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,2,1
50,50,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,2,1
51,51,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,2,1
52,52,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,2,1
53,53,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,2,1
54,54,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,2,1
55,25941,0,1,1,2,104,4,4,1,1,3618,1571,0,0,3,0,1
56,55,0,0,1,1,163,2,4,0,1,3383,404,0,0,2,25,0
57,56,0,0,1,1,163,2,4,0,1,3383,404,0,0,2,12,0
58,57,1,1,1,0,212,0,4,1,1,3195,752,0,0,1,10,0
59,58,0,0,1,2,94,0,1,1,1,5387,2392,0,0,3,6,0
60,59,0,0,1,2,94,0,1,1,1,5387,2392,0,0,3,6,0
61,60,0,0,1,2,94,0,1,1,1,5387,2392,0,0,3,9,0
62,61,0,0,1,2,94,0,1,1,1,5387,2392,0,0,3,3,1
63,62,0,0,1,2,94,0,1,1,1,5387,2392,0,0,3,6,0
64,63,0,0,1,2,94,0,1,1,1,5387,2392,0,0,3,15,0
65,64,0,0,1,2,94,0,1,1,1,5387,2392,0,0,3,6,0
66,65,0,0,1,2,94,0,1,1,1,5387,2392,0,0,3,6,0
67,66,0,0,1,2,94,0,1,1,1,5387,2392,0,0,3,6,0
68,67,0,0,1,2,94,0,1,1,1,5387,2392,0,0,3,9,0
69,68,0,0,1,0,202,1,4,4,1,1593,3639,0,0,0,4,1
70,69,0,0,1,0,180,0,1,2,4,3037,2688,0,0,0,4,1
71,70,0,0,1,0,180,0,1,2,4,3037,2688,0,0,0,3,1
72,71,0,0,1,0,180,0,1,2,4,3037,2688,0,0,0,4,1
73,25942,0,0,1,0,180,0,1,2,4,3037,2688,0,0,0,4,1
74,72,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
75,73,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
76,74,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
77,75,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
78,76,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
79,77,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
80,78,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
81,79,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
82,80,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
83,81,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
84,82,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
85,83,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
86,84,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
87,85,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
88,86,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
89,87,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
90,88,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
91,89,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
92,90,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
93,91,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
94,92,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
95,93,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
96,94,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
97,95,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
98,96,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
99,97,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
100,98,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
101,99,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
102,100,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
103,101,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
104,102,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
105,103,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
106,104,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
107,105,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
108,106,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
109,107,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,12,0
110,108,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
111,109,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,10,0
112,110,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
113,111,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,6,0
114,112,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
115,113,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,5,0
116,114,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
117,115,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
118,116,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
119,117,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
120,118,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
121,119,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
122,120,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
123,121,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,1,1
124,122,0,0,1,0,198,0,4,3,4,3742,1539,0,0,0,0,1
125,123,0,0,0,0,120,0,1,1,1,4757,899,0,0,1,18,0
126,124,0,0,0,0,120,0,1,1,1,4757,899,0,0,1,0,1
127,125,0,0,0,0,120,0,1,1,1,4757,899,0,0,1,18,0
128,126,0,0,0,0,120,0,1,1,1,4757,899,0,0,1,18,0
129,127,0,0,0,0,120,0,1,1,1,4757,899,0,0,1,18,0
130,128,1,0,1,0,104,4,4,1,1,3759,2643,0,1,1,0,1
131,129,1,0,1,0,104,4,4,1,1,3759,2643,0,1,1,0,1
132,130,1,0,1,0,104,4,4,1,1,3759,2643,0,1,1,0,1
133,131,1,0,1,0,104,4,4,1,1,3759,2643,0,1,1,0,1
134,132,1,0,1,1,170,4,4,1,1,6473,1766,0,0,2,6,0
135,133,1,0,1,1,170,4,4,1,1,6473,1766,0,0,2,0,1
136,134,1,0,1,1,170,4,4,1,1,6473,1766,0,0,2,0,1
137,135,1,0,1,1,170,4,4,1,1,6473,1766,0,0,2,6,0
138,136,0,1,1,0,104,4,4,1,1,2679,2431,0,0,1,5,0
139,137,0,1,1,0,104,4,4,1,1,2679,2431,0,0,1,5,0
140,138,0,1,1,0,104,4,4,1,1,2679,2431,0,0,1,5,0
141,139,0,1,1,0,104,4,4,1,1,2679,2431,0,0,1,4,1
142,140,0,1,1,0,104,4,4,1,1,2679,2431,0,0,1,12,0
143,141,0,1,1,0,104,4,4,1,1,2679,2431,0,0,1,12,0
144,142,0,1,1,0,104,4,4,1,1,2679,2431,0,0,1,9,0
145,143,0,1,1,0,104,4,4,1,1,2679,2431,0,0,1,9,0
146,144,1,0,1,0,120,4,4,1,1,3474,3023,0,0,1,16,0
147,145,1,0,1,0,120,4,4,1,1,3474,3023,0,0,1,14,0
148,146,1,0,1,0,120,4,4,1,1,3474,3023,0,0,1,5,0
149,147,1,0,1,0,120,4,4,1,1,3474,3023,0,0,1,5,0
150,148,0,0,1,0,77,1,4,1,1,671,3639,0,0,1,2,1
151,149,0,0,1,0,77,1,4,1,1,671,3639,0,0,1,23,0
152,150,0,0,1,0,77,1,4,1,1,671,3639,0,0,1,2,1
153,151,0,0,1,0,77,1,4,1,1,671,3639,0,0,1,24,0
154,152,0,0,1,0,77,1,4,1,1,671,3639,0,0,1,23,0
155,153,0,0,1,0,77,1,4,1,1,671,3639,0,0,1,8,0
156,154,0,0,1,0,77,1,4,1,1,671,3639,0,0,1,18,0
157,155,1,1,1,0,77,2,4,1,1,1307,2015,0,0,1,0,1
158,156,1,1,1,0,77,2,4,1,1,1307,2015,0,0,1,0,1
159,157,1,1,1,0,77,2,4,1,1,1307,2015,0,0,1,0,1
160,158,1,1,1,0,77,2,4,1,1,1307,2015,0,0,1,0,1
161,159,1,1,1,0,77,2,4,1,1,1307,2015,0,0,1,3,1
162,160,1,1,1,0,77,2,4,1,1,1307,2015,0,0,1,0,1
163,161,0,1,1,0,192,4,4,2,1,3227,2803,0,1,0,26,0
164,162,0,1,1,0,192,4,4,2,1,3227,2803,0,1,0,1,1
165,163,0,1,1,0,192,4,4,2,1,3227,2803,0,1,0,18,0
166,164,0,1,1,0,192,4,4,2,1,3227,2803,0,1,0,17,0
167,165,0,1,1,0,192,4,4,2,1,3227,2803,0,1,0,18,0
168,25952,0,1,1,0,192,4,4,2,1,3227,2803,0,1,0,19,0
169,166,0,1,1,0,192,4,1,1,1,6317,3068,0,0,1,0,1
170,167,0,1,1,0,192,4,1,1,1,6317,3068,0,0,1,0,1
171,168,1,1,1,0,120,4,4,1,1,6683,3068,0,0,1,9,0
172,169,1,0,1,0,128,4,4,1,1,2160,543,0,1,1,6,0
173,170,1,0,1,0,128,4,4,1,1,2160,543,0,1,1,6,0
174,171,1,0,1,0,128,4,4,1,1,2160,543,0,1,1,6,0
175,172,1,0,1,0,128,4,4,1,1,2160,543,0,1,1,7,0
176,173,1,0,1,0,128,4,4,1,1,2160,543,0,1,1,7,0
177,174,1,0,1,0,128,4,4,1,1,2160,543,0,1,1,6,0
178,175,1,0,1,0,128,4,4,1,1,2160,543,0,1,1,7,0
179,176,1,0,1,0,128,4,4,1,1,2160,543,0,1,1,6,0
180,177,1,0,1,0,128,4,4,1,1,2160,543,0,1,1,3,1
181,178,1,0,1,0,128,4,4,1,1,2160,543,0,1,1,6,0
182,179,0,0,1,2,167,2,1,1,1,3783,1602,0,0,3,6,0
183,180,0,0,1,2,167,2,1,1,1,3783,1602,0,0,3,3,1
184,181,0,0,1,2,167,2,1,1,1,3783,1602,0,0,3,33,0
185,182,0,0,1,2,167,2,1,1,1,3783,1602,0,0,3,12,0
186,183,0,0,1,2,167,2,1,1,1,3783,1602,0,0,3,6,0
187,184,0,0,1,2,167,2,1,1,1,3783,1602,0,0,3,6,0
188,185,0,0,1,2,167,2,1,1,1,3783,1602,0,0,3,6,0
189,186,0,0,1,2,167,2,1,1,1,3783,1602,0,0,3,6,0
190,187,0,1,1,0,192,0,4,1,1,1753,79,0,0,1,15,0
191,25953,0,1,1,0,192,0,4,1,1,1753,79,0,0,1,5,0
192,188,0,1,1,0,170,0,4,1,1,4330,1782,0,0,1,11,0
193,189,0,1,1,0,170,0,4,1,1,4330,1782,0,0,1,0,1
194,190,0,0,1,0,202,4,4,3,1,6360,2803,0,0,0,2,1
195,191,0,0,1,0,202,4,4,3,1,6360,2803,0,0,0,2,1
196,192,0,0,0,0,185,1,2,0,4,2269,3639,0,0,1,4,1
197,193,0,0,0,0,185,1,2,0,4,2269,3639,0,0,1,11,0
198,194,0,0,0,0,185,1,2,0,4,2269,3639,0,0,1,4,1
199,195,0,0,0,0,185,1,2,0,4,2269,3639,0,0,1,5,0
200,196,0,0,0,0,185,1,2,0,4,2269,3639,0,0,1,4,1
201,197,0,0,0,0,185,1,2,0,4,2269,3639,0,0,1,4,1
202,198,0,0,1,2,120,4,4,3,1,4398,3277,0,0,2,1,1
203,199,0,0,1,2,120,4,4,3,1,4398,3277,0,0,2,1,1
204,200,0,0,1,0,115,4,1,1,1,2741,3023,0,0,1,8,0
205,201,0,0,1,0,115,4,1,1,1,2741,3023,0,0,1,15,0
206,202,0,0,1,0,115,4,1,1,1,2741,3023,0,0,1,15,0
207,203,0,0,1,0,115,4,1,1,1,2741,3023,0,0,1,15,0
208,204,0,0,1,0,115,4,1,1,1,2741,3023,0,0,1,4,1
209,205,0,0,1,0,115,4,1,1,1,2741,3023,0,0,1,11,0
210,206,0,0,1,2,158,4,1,1,1,6123,2071,0,0,3,6,0
211,207,0,0,1,2,158,4,1,1,1,6123,2071,0,0,3,24,0
212,208,0,0,1,2,158,4,1,1,1,6123,2071,0,0,3,17,0
213,209,0,0,1,2,158,4,1,1,1,6123,2071,0,0,3,6,0
214,210,0,0,1,2,158,4,1,1,1,6123,2071,0,0,3,1,1
215,211,1,0,1,0,158,4,4,3,1,7022,3023,0,1,0,10,0
216,212,1,0,1,0,158,4,4,3,1,7022,3023,0,1,0,10,0
217,213,0,1,1,0,77,0,4,3,1,7182,3092,0,0,0,0,1
218,214,0,0,1,0,66,1,1,1,1,666,3639,0,0,1,4,1
219,215,1,1,1,0,202,4,4,0,1,6402,2200,0,0,1,3,1
220,216,1,1,1,0,202,4,4,0,1,6402,2200,0,0,1,3,1
221,217,1,1,1,0,202,4,4,0,1,6402,2200,0,0,1,0,1
222,218,1,1,1,0,202,4,4,0,1,6402,2200,0,0,1,0,1
223,219,1,1,1,0,202,4,4,0,1,6402,2200,0,0,1,14,0
224,220,1,1,1,0,202,4,4,0,1,6402,2200,0,0,1,4,1
225,221,1,1,1,0,202,4,4,0,1,6402,2200,0,0,1,3,1
226,222,1,1,1,0,202,4,4,0,1,6402,2200,0,0,1,20,0
227,223,1,1,1,0,202,4,4,0,1,6402,2200,0,0,1,3,1
228,224,0,1,1,0,192,0,2,0,2,6504,1571,0,0,1,7,0
229,225,0,1,1,0,192,0,2,0,2,6504,1571,0,0,1,7,0
230,226,0,1,1,1,230,2,1,1,1,2706,3162,0,0,2,23,0
231,227,0,1,1,1,230,2,1,1,1,2706,3162,0,0,2,23,0
232,228,1,0,1,1,145,4,4,1,5,4509,2732,0,0,2,6,0
233,229,0,0,1,0,77,4,1,0,1,6606,1571,0,0,1,8,0
234,230,0,0,1,0,77,4,1,0,1,6606,1571,0,0,1,16,0
235,231,0,0,1,0,77,4,1,0,1,6606,1571,0,0,1,11,0
236,232,1,0,1,0,62,4,4,1,1,1458,639,0,0,1,0,1
237,233,1,0,1,0,62,4,4,1,1,1458,639,0,0,1,3,1
238,234,1,1,0,2,158,0,1,1,1,4176,1672,0,0,3,32,0
239,235,1,1,0,2,158,0,1,1,1,4176,1672,0,0,3,32,0
240,236,1,1,1,0,180,4,4,1,1,5285,1175,0,0,1,14,0
241,237,1,1,1,1,256,4,1,1,1,5506,2803,0,1,2,6,0
242,238,1,1,1,1,256,4,1,1,1,5506,2803,0,1,2,4,1
243,239,1,1,1,1,256,4,1,1,1,5506,2803,0,1,2,4,1
244,240,0,0,1,1,192,0,4,1,1,4736,1060,0,0,2,4,1
245,241,0,0,1,1,192,0,4,1,1,4736,1060,0,0,2,14,0
246,242,0,0,1,1,192,0,4,1,1,4736,1060,0,0,2,4,1
247,243,0,0,1,0,202,4,1,2,1,4955,3277,0,0,0,10,0
248,244,0,0,1,0,202,4,1,2,1,4955,3277,0,0,0,10,0
249,245,1,1,1,2,120,4,4,1,5,5163,1164,0,0,3,7,0
250,246,1,1,1,2,120,4,4,1,5,5163,1164,0,0,3,0,1
251,247,1,1,1,2,120,4,4,1,5,5163,1164,0,0,3,0,1
252,248,1,1,1,2,120,4,4,1,5,5163,1164,0,0,3,0,1
253,25962,1,1,1,2,120,4,4,1,5,5163,1164,0,0,3,7,0
254,249,1,0,1,0,212,0,4,1,1,3852,1803,0,0,1,8,0
255,250,1,0,1,0,212,0,4,1,1,3852,1803,0,0,1,10,0
256,251,0,0,1,0,77,0,1,1,1,7027,3456,0,0,1,5,0
257,252,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
258,253,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
259,254,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
260,255,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
261,256,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
262,257,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
263,258,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
264,259,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
265,260,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
266,261,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
267,262,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
268,263,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
269,264,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
270,265,0,0,0,0,120,0,1,2,5,3630,3366,0,0,0,4,1
271,266,1,0,1,0,218,1,4,4,1,957,3639,0,0,0,3,1
272,267,1,0,1,0,218,1,4,4,1,957,3639,0,0,0,5,0
273,268,1,0,1,0,218,1,4,4,1,957,3639,0,0,0,8,0
274,269,1,0,1,0,218,1,4,4,1,957,3639,0,0,0,6,0
275,270,1,0,1,0,218,1,4,4,1,957,3639,0,0,0,8,0
276,271,1,0,1,0,218,1,4,4,1,957,3639,0,0,0,7,0
277,272,1,0,1,0,218,1,4,4,1,957,3639,0,0,0,8,0
278,273,1,0,1,0,218,1,4,4,1,957,3639,0,0,0,8,0
279,274,0,0,0,0,104,4,4,0,1,6791,2542,0,1,1,8,0
280,275,0,0,0,0,104,4,4,0,1,6791,2542,0,1,1,8,0
281,276,1,1,0,0,170,1,4,0,1,2458,3639,0,0,1,11,0
282,277,1,1,0,0,170,1,4,0,1,2458,3639,0,0,1,6,0
283,278,1,1,0,0,202,4,1,1,1,3587,1291,0,1,1,4,1
284,279,1,1,0,0,202,4,1,1,1,3587,1291,0,1,1,5,0
285,280,1,1,0,0,202,4,1,1,1,3587,1291,0,1,1,5,0
286,281,1,1,0,0,202,4,1,1,1,3587,1291,0,1,1,5,0
287,282,1,1,0,0,202,4,1,1,1,3587,1291,0,1,1,5,0
288,283,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
289,284,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
290,285,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
291,286,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
292,287,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
293,288,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
294,289,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
295,290,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
296,291,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
297,292,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
298,293,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,6,0
299,294,0,0,0,0,145,4,4,1,1,1884,1714,0,0,1,4,1
300,295,0,0,0,0,120,4,4,1,1,5133,1570,0,0,1,13,0
301,296,0,0,0,0,120,4,4,1,1,5133,1570,0,0,1,17,0
302,297,0,0,0,0,120,4,4,1,1,5133,1570,0,0,1,17,0
303,298,0,0,0,0,120,4,4,1,1,5133,1570,0,0,1,17,0
304,299,0,0,0,0,120,4,4,1,1,5133,1570,0,0,1,17,0
305,300,0,1,0,0,111,1,4,1,1,484,3639,0,0,1,11,0
306,301,1,1,0,0,172,4,2,1,0,2444,2754,0,0,1,36,0
307,302,1,1,0,0,172,4,2,1,0,2444,2754,0,0,1,33,0
308,303,1,1,0,0,172,4,2,1,0,2444,2754,0,0,1,2,1
309,304,1,1,0,0,172,4,2,1,0,2444,2754,0,0,1,36,0
310,305,1,1,0,0,172,4,2,1,0,2444,2754,0,0,1,11,0
311,306,1,1,0,0,172,4,2,1,0,2444,2754,0,0,1,6,0
312,307,1,1,0,0,172,4,2,1,0,2444,2754,0,0,1,2,1
313,308,0,0,0,0,192,4,1,1,1,2774,622,0,1,1,5,0
314,309,0,0,0,0,192,4,1,1,1,2774,622,0,1,1,6,0
315,310,0,0,0,0,192,4,1,1,1,2774,622,0,1,1,11,0
316,311,0,0,0,0,192,4,1,1,1,2774,622,0,1,1,9,0
317,312,0,0,0,0,192,4,1,1,1,2774,622,0,1,1,3,1
318,313,0,0,0,0,192,4,1,1,1,2774,622,0,1,1,9,0
319,314,0,0,0,0,192,4,1,1,1,2774,622,0,1,1,11,0
320,315,0,0,0,0,192,4,1,1,1,2774,622,0,1,1,13,0
321,316,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,6,0
322,317,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,7,0
323,318,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,17,0
324,319,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,1,1
325,320,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,7,0
326,321,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,0,1
327,322,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,3,1
328,323,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,0,1
329,324,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,12,0
330,325,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,21,0
331,326,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,0,1
332,327,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,47,0
333,328,0,0,0,0,197,2,4,1,1,1273,223,0,1,1,3,1
334,329,0,0,0,0,192,4,1,1,1,5427,3046,0,1,1,0,1
335,330,0,0,0,0,192,4,1,1,1,5427,3046,0,1,1,19,0
336,331,0,0,0,0,192,4,1,1,1,5427,3046,0,1,1,5,0
337,332,0,0,0,0,192,4,1,1,1,5427,3046,0,1,1,6,0
338,333,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,7,0
339,334,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,37,0
340,335,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,24,0
341,336,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,5,0
342,337,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,0,1
343,338,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,44,0
344,339,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,21,0
345,340,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,1,1
346,341,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,37,0
347,342,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,0,1
348,343,0,1,0,0,170,4,4,1,1,4206,3091,0,1,1,30,0
349,344,1,1,0,0,120,4,2,1,5,6325,2960,0,0,1,5,0
350,345,1,1,0,0,120,4,2,1,5,6325,2960,0,0,1,5,0
351,346,1,1,0,0,120,4,2,1,5,6325,2960,0,0,1,3,1
352,347,1,1,0,0,120,4,2,1,5,6325,2960,0,0,1,5,0
353,348,0,0,0,0,49,4,1,2,2,2086,788,0,0,0,6,0
354,349,0,0,0,0,49,4,1,2,2,2086,788,0,0,0,6,0
355,350,0,0,0,0,49,4,1,2,2,2086,788,0,0,0,0,1
356,351,0,0,0,0,104,0,4,1,1,4466,2165,0,0,1,0,1
357,352,0,0,0,0,104,0,4,1,1,4466,2165,0,0,1,6,0
358,353,0,0,0,0,104,0,4,1,1,4466,2165,0,0,1,9,0
